,Cou,MajorUsCarrier,Weekday,CruisingSpd,AltCat,Intl
65873,True,False,0,False,0,True
65903,True,False,0,False,1,True
65975,False,True,0,False,0,False
65999,False,True,0,True,2,True
66003,False,True,0,False,0,True
67001,False,True,0,True,2,True
67131,False,True,0,False,1,False
67141,False,True,0,True,1,False
67488,False,True,0,False,1,False
67734,False,True,0,False,1,False
67767,False,False,0,False,0,False
68836,False,True,0,False,0,True
68920,False,True,0,False,1,False
68948,False,True,0,False,0,False
68951,False,True,0,False,1,True
68957,False,True,0,True,1,False
68960,True,False,0,False,1,True
69000,False,True,0,True,1,False
69003,False,True,0,True,1,False
69010,False,True,0,True,2,False
69023,False,True,0,True,1,False
69068,False,True,0,False,1,True
69098,True,False,0,False,0,True
69140,False,True,0,False,0,True
69333,True,False,0,False,0,True
69349,False,True,0,False,0,False
69403,True,False,0,False,0,True
69404,True,False,0,False,0,True
69715,True,False,0,False,0,True
69754,False,True,0,False,1,False
69795,True,False,0,False,1,True
69808,False,True,0,False,1,True
69924,False,True,0,True,1,False
69982,False,True,0,False,1,True
69991,False,True,0,True,2,False
70050,True,False,0,False,0,True
70130,False,True,0,True,1,False
70161,False,True,0,True,1,False
70372,False,True,0,False,0,True
70423,False,True,0,False,0,True
70477,False,True,0,False,0,False
70519,False,True,0,False,0,False
70559,True,False,0,False,0,True
70582,True,False,0,False,0,True
70642,True,False,0,False,0,True
70744,False,True,0,False,0,False
70751,False,True,0,True,1,False
71013,False,True,0,False,1,True
71035,True,False,0,False,1,True
71058,False,True,0,False,1,False
71102,False,True,0,True,1,False
71132,False,True,0,True,1,False
71174,False,True,0,False,1,True
71228,False,True,0,True,2,False
71279,False,True,0,False,0,True
71290,False,True,0,True,1,False
71300,False,True,0,True,1,False
71406,True,False,0,False,0,True
71414,False,True,0,False,0,False
71432,False,True,0,False,0,True
71447,False,True,0,False,0,False
71449,False,True,0,False,0,False
71453,True,False,0,False,0,True
71455,False,True,0,False,1,False
71479,True,False,0,False,0,True
71496,True,False,0,False,0,True
71511,True,False,0,False,0,True
71741,False,True,0,False,0,True
71746,False,True,0,False,1,False
71765,False,True,0,False,1,True
71775,False,True,0,False,0,False
71784,False,True,0,True,1,False
71785,True,False,0,False,1,True
71795,True,False,0,False,0,True
71879,False,True,0,True,1,False
71940,True,False,0,False,0,True
71958,False,True,0,False,0,False
71977,False,True,0,True,2,False
72026,True,False,0,False,0,True
72070,True,False,0,False,0,True
72093,True,False,0,False,0,True
72163,False,True,0,True,1,False
72262,False,True,0,False,0,False
72450,False,True,0,False,1,False
72495,False,True,0,False,0,False
72760,False,True,0,True,1,False
72991,True,False,0,False,0,True
73060,False,True,0,True,2,False
73062,False,True,0,False,0,False
73064,True,False,0,False,0,True
73148,False,True,0,False,1,False
73153,False,True,0,False,0,True
73168,False,True,0,False,1,True
73199,True,False,0,False,0,True
73201,True,False,0,False,1,True
73205,False,True,0,True,1,False
73213,False,True,0,False,0,False
73260,False,True,0,True,1,False
73297,False,True,0,True,1,False
73315,True,False,0,False,0,True
73350,True,False,0,False,0,True
73379,True,False,0,False,0,True
73446,False,True,0,False,0,False
73472,False,True,0,False,0,True
74329,False,True,0,False,1,True
74720,False,True,0,True,1,False
74743,False,True,0,True,2,False
74987,False,True,0,False,0,False
75194,False,False,0,False,0,False
75212,False,False,0,False,0,False
76186,True,False,0,False,0,True
76228,True,False,0,False,0,True
76265,False,True,0,False,0,False
76296,False,True,0,False,0,True
76361,False,True,0,False,1,False
76387,False,True,0,False,0,False
76389,False,True,0,True,1,True
76395,False,True,0,True,1,False
76398,True,False,0,True,1,True
76423,False,True,0,False,0,False
76433,False,True,0,True,1,False
76435,False,True,0,True,1,False
76439,False,True,0,True,2,False
76489,False,True,0,False,1,True
76550,False,True,0,False,0,True
76711,True,False,0,False,0,True
76728,True,False,0,False,0,True
76744,False,True,0,False,0,False
76788,True,False,0,False,0,True
76789,True,False,0,False,0,True
76961,True,False,0,False,0,True
77058,True,False,0,False,0,True
77185,True,False,0,False,0,True
77210,True,False,0,False,0,True
77246,False,True,0,False,1,False
77284,True,False,0,True,1,True
77297,False,True,0,True,1,True
77461,False,True,0,True,2,False
77517,True,False,0,False,0,True
77587,False,True,0,True,1,False
77614,False,True,0,True,1,False
77662,False,True,0,False,0,False
77805,False,True,0,False,0,True
77903,False,True,0,False,0,False
77939,False,True,0,False,0,False
77972,True,False,0,False,0,True
78134,False,True,0,False,0,False
78140,False,True,0,True,1,False
78255,True,False,0,False,0,True
78307,True,False,0,False,0,True
78470,False,True,0,True,1,True
78489,True,False,0,True,1,True
78506,False,True,0,False,1,False
78546,False,True,0,True,1,False
78645,False,True,0,True,2,False
78686,False,True,0,False,0,True
78696,False,True,0,True,1,False
78704,False,True,0,True,1,False
78801,False,True,0,False,0,False
78804,False,True,0,False,0,False
78813,False,True,0,False,0,True
78827,False,True,0,False,0,False
78829,False,True,0,False,0,False
78833,True,False,0,False,0,True
78858,True,False,0,False,0,True
78867,True,False,0,False,0,True
78875,True,False,0,False,0,True
78889,True,False,0,False,0,True
79063,True,False,0,False,0,True
79070,False,True,0,True,1,False
79207,False,True,0,False,0,True
79211,False,True,0,False,1,False
79228,False,True,0,True,1,True
79237,False,True,0,False,0,False
79244,False,True,0,True,1,False
79245,True,False,0,True,1,True
79327,True,False,0,False,0,True
79376,True,False,0,False,0,True
79392,False,True,0,False,0,False
79407,False,True,0,True,2,False
79451,True,False,0,False,0,True
79488,True,False,0,False,0,True
79506,True,False,0,False,0,True
79562,False,True,0,True,1,False
79637,False,True,0,False,0,False
79650,False,True,0,False,0,False
79800,False,True,0,True,1,False
79912,False,True,0,True,1,False
80445,True,False,0,False,0,True
80458,True,False,0,False,0,True
80498,True,False,0,False,0,True
80544,False,True,0,True,2,False
80546,False,True,0,False,0,False
80548,True,False,0,False,0,True
80621,False,True,0,False,1,False
80626,False,True,0,False,0,True
80640,False,True,0,True,1,True
80669,True,False,0,False,0,True
80671,True,False,0,False,1,True
80674,False,True,0,True,1,False
80680,False,True,0,False,0,False
80726,False,True,0,True,1,False
80777,True,False,0,False,0,True
80809,True,False,0,False,0,True
80835,True,False,0,False,0,True
80895,False,True,0,False,0,False
80917,False,True,0,False,0,True
81364,True,False,0,True,1,True
81553,False,True,0,False,1,False
82219,False,True,0,True,2,False
82434,False,True,0,False,0,False
82614,False,False,0,False,0,False
83618,False,True,0,False,0,True
83679,True,False,0,False,1,True
83706,True,False,0,False,0,True
83758,False,True,0,False,0,True
83811,False,True,0,True,1,False
83835,False,True,0,True,1,True
83840,False,True,0,False,1,False
83869,False,True,0,True,1,False
83875,False,True,0,True,2,False
84087,True,False,0,False,1,True
84114,True,False,0,False,0,True
84127,True,False,0,False,0,True
84141,False,True,0,False,0,False
84176,True,False,0,False,0,True
84177,True,False,0,False,0,True
84374,True,False,0,False,0,True
84467,True,False,0,False,1,True
84541,True,False,0,False,0,True
84626,False,True,0,True,1,False
84649,True,False,0,False,0,True
84669,True,False,0,False,0,True
84701,False,True,0,True,1,False
84749,False,True,0,True,1,True
84811,False,True,0,False,0,True
84900,False,True,0,True,2,False
85007,False,True,0,True,1,False
85075,False,True,0,False,0,False
85174,False,True,0,False,1,False
85229,True,False,0,False,1,True
85323,False,True,0,False,0,False
85350,True,False,0,False,0,True
85501,False,True,0,False,0,False
85507,False,True,0,False,1,False
85616,True,False,0,False,0,True
85642,False,True,0,False,0,True
85698,True,False,0,False,1,True
85741,True,False,0,False,0,True
85874,False,True,0,True,1,True
85906,False,True,0,True,1,False
86019,False,True,0,True,2,False
86055,False,True,0,False,0,True
86060,True,False,0,False,0,True
86064,False,True,0,True,1,False
86068,False,True,0,False,1,False
86154,False,True,0,False,0,False
86157,False,True,0,False,0,False
86178,False,True,0,False,0,False
86182,True,False,0,False,0,True
86203,True,False,0,False,1,True
86204,True,False,0,False,0,True
86211,True,False,0,False,0,True
86218,True,False,0,False,0,True
86228,True,False,0,False,0,True
86367,False,True,0,False,0,True
86436,True,False,0,False,1,True
86628,False,True,0,True,1,True
86637,False,True,0,False,0,False
86639,True,False,0,False,1,True
86643,False,True,0,True,1,False
86718,True,False,0,False,0,True
86756,True,False,0,False,0,True
86771,False,True,0,False,0,False
86783,False,True,0,True,2,False
86819,True,False,0,False,0,True
86907,False,True,0,False,1,False
86964,False,True,0,False,0,False
87132,False,True,0,False,1,False
87204,False,True,0,True,1,False
87776,True,False,0,False,1,True
87802,True,False,0,False,0,True
87812,False,True,0,False,0,True
87852,False,True,0,False,1,False
87884,True,False,0,False,1,True
87894,True,False,0,False,0,True
87929,True,False,0,False,0,True
87970,False,True,0,True,2,False
87974,True,False,0,False,0,True
88036,False,True,0,True,1,False
88040,False,True,0,False,0,True
88079,True,False,0,False,0,True
88083,False,True,0,True,1,False
88206,True,False,0,False,0,True
88228,True,False,0,False,0,True
88286,False,True,0,False,0,False
89044,False,True,0,True,2,True
89084,False,True,0,False,1,False
89101,False,True,0,False,1,False
89130,True,False,0,False,0,True
89648,False,True,0,True,2,False
